ID;justification;approvalStatus;assignDate;requestedType_code;allocatedAsset_ID;requestedBy_ID;approvedBy_ID
r3000000-0000-0000-0000-000000000001;New hire onboarding - developer workstation required;Approved;2023-01-15;LAPTOP_DEV;a2000000-0000-0000-0000-000000000001;e1000000-0000-0000-0000-000000000001;e1000000-0000-0000-0000-000000000006
r3000000-0000-0000-0000-000000000002;New hire onboarding - developer workstation required;Approved;2023-01-15;LAPTOP_DEV;a2000000-0000-0000-0000-000000000002;e1000000-0000-0000-0000-000000000002;e1000000-0000-0000-0000-000000000006
r3000000-0000-0000-0000-000000000003;Product manager needs thin & light for travel;Approved;2023-03-10;LAPTOP_EXEC;a2000000-0000-0000-0000-000000000003;e1000000-0000-0000-0000-000000000003;e1000000-0000-0000-0000-000000000007
r3000000-0000-0000-0000-000000000004;Finance analyst replacement - old laptop beyond repair;Approved;2023-03-10;LAPTOP_STD;a2000000-0000-0000-0000-000000000004;e1000000-0000-0000-0000-000000000004;e1000000-0000-0000-0000-000000000006
r3000000-0000-0000-0000-000000000005;HR needs laptop for recruitment season;Approved;2023-04-20;LAPTOP_STD;a2000000-0000-0000-0000-000000000005;e1000000-0000-0000-0000-000000000005;e1000000-0000-0000-0000-000000000007
r3000000-0000-0000-0000-000000000006;Sales lead requires premium device for client demos;Approved;2023-06-01;LAPTOP_EXEC;a2000000-0000-0000-0000-000000000006;e1000000-0000-0000-0000-000000000008;e1000000-0000-0000-0000-000000000006

r3000000-0000-0000-0000-000000000007;New engineer joining next month - early request;Pending;;LAPTOP_DEV;;e1000000-0000-0000-0000-000000000010;
r3000000-0000-0000-0000-000000000008;Marketing needs a second monitor for video editing;Pending;;MONITOR_4K;;e1000000-0000-0000-0000-000000000009;
r3000000-0000-0000-0000-000000000009;Replacement headset - microphone failure;Approved;2023-02-14;HEADSET;a2000000-0000-0000-0000-000000000020;e1000000-0000-0000-0000-000000000003;e1000000-0000-0000-0000-000000000007
r3000000-0000-0000-0000-000000000010;Requesting ergonomic keyboard for health reasons;Rejected;;KEYBOARD;;e1000000-0000-0000-0000-000000000004;e1000000-0000-0000-0000-000000000006
